date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:55	1500/1500	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Sep%202022%2013:12:28%20GMT	https://www.loxgamestudio.com/robots.txt		(from )
16:12:55	19961/19961	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Dec%202021%2019:14:08%20GMT	https://www.loxgamestudio.com/bots/securitybot/tr/	C:/Benim%20Web%20Sitem/defendersec/www.loxgamestudio.com/bots/securitybot/tr/index.html	(from )
16:12:55	5406/5406	---M-Z	200	added ('OK')	application/javascript	etag:%22a48e6507e521bc6b94be9f6c5011c368%22	https://www.loxgamestudio.com/cdn-cgi/apps/head/Ax2IveHfAF1FaKzlWNPkDfHq_IA.js	C:/Benim%20Web%20Sitem/defendersec/www.loxgamestudio.com/cdn-cgi/apps/head/Ax2IveHfAF1FaKzlWNPkDfHq_IA.js	(from https://www.loxgamestudio.com/bots/securitybot/tr/)
16:12:55	943138/943138	---M--	200	added ('OK')	image/png	etag:%225eab63f5-e6422%22	https://static.loxgamestudio.com/securitybot/LoxSecurityBot.png	C:/Benim%20Web%20Sitem/defendersec/static.loxgamestudio.com/securitybot/LoxSecurityBot.png	(from https://www.loxgamestudio.com/bots/securitybot/tr/)
16:12:56	17085/17085	---MCZ	200	added ('OK')	text/css	etag:W/%2261cf5680-4348%22	https://www.loxgamestudio.com/bots/securitybot/dist/css/style.css	C:/Benim%20Web%20Sitem/defendersec/www.loxgamestudio.com/bots/securitybot/dist/css/style.css	(from https://www.loxgamestudio.com/bots/securitybot/tr/)
16:12:56	7814/7814	---M-Z	200	added ('OK')	text/css	etag:W/%2261cf5680-1e86%22	https://www.loxgamestudio.com/bots/securitybot/dist/css/style2.css	C:/Benim%20Web%20Sitem/defendersec/www.loxgamestudio.com/bots/securitybot/dist/css/style2.css	(from https://www.loxgamestudio.com/bots/securitybot/tr/)
16:12:56	16393/16393	---MCZ	200	added ('OK')	application/javascript	etag:%224009-olFGSVMkRiWLiX8td2OR9arAZMQ%22	https://unpkg.com/scrollreveal@4.0.0/dist/scrollreveal.min.js	C:/Benim%20Web%20Sitem/defendersec/unpkg.com/scrollreveal@4.0.0/dist/scrollreveal.min.js	(from https://www.loxgamestudio.com/bots/securitybot/tr/)
16:12:57	613136/613136	---M--	200	added ('OK')	image/png	etag:%2261cf5680-95b10%22	https://www.loxgamestudio.com/bots/securitybot/dist/images/LoxSecurityBotTitle.png	C:/Benim%20Web%20Sitem/defendersec/www.loxgamestudio.com/bots/securitybot/dist/images/LoxSecurityBotTitle.png	(from https://www.loxgamestudio.com/bots/securitybot/tr/)
16:12:57	1744/1744	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Dec%202021%2019:14:08%20GMT	https://www.loxgamestudio.com/bots/securitybot/tr/feedbacks.html	C:/Benim%20Web%20Sitem/defendersec/www.loxgamestudio.com/bots/securitybot/tr/feedbacks.html	(from https://www.loxgamestudio.com/bots/securitybot/tr/)
16:12:57	648925/648925	---M--	200	added ('OK')	image/png	etag:%2261cf5680-9e6dd%22	https://www.loxgamestudio.com/bots/securitybot/dist/images/LoxSecurityBot_B.png	C:/Benim%20Web%20Sitem/defendersec/www.loxgamestudio.com/bots/securitybot/dist/images/LoxSecurityBot_B.png	(from https://www.loxgamestudio.com/bots/securitybot/tr/)
16:12:57	35907/35907	---M--	200	added ('OK')	image/png	etag:%2261cf5680-8c43%22	https://www.loxgamestudio.com/bots/securitybot/dist/images/SecurityBot.png	C:/Benim%20Web%20Sitem/defendersec/www.loxgamestudio.com/bots/securitybot/dist/images/SecurityBot.png	(from https://www.loxgamestudio.com/bots/securitybot/tr/)
16:12:58	614547/614547	---M--	200	added ('OK')	image/png	etag:%2261cf5680-96093%22	https://www.loxgamestudio.com/bots/securitybot/dist/images/Premium.png	C:/Benim%20Web%20Sitem/defendersec/www.loxgamestudio.com/bots/securitybot/dist/images/Premium.png	(from https://www.loxgamestudio.com/bots/securitybot/tr/)
16:12:58	3369/3369	---M--	200	added ('OK')	image/png	etag:%225c843237-d29%22	https://static.lgamestudio.com/general/img/loxx.png	C:/Benim%20Web%20Sitem/defendersec/static.lgamestudio.com/general/img/loxx.png	(from https://www.loxgamestudio.com/bots/securitybot/tr/)
16:12:58	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22631783d0-4d7%22	https://www.loxgamestudio.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Benim%20Web%20Sitem/defendersec/www.loxgamestudio.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.loxgamestudio.com/bots/securitybot/tr/)
16:12:59	1314/1314	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261cf5680-522%22	https://www.loxgamestudio.com/bots/securitybot/dist/js/main.min.js	C:/Benim%20Web%20Sitem/defendersec/www.loxgamestudio.com/bots/securitybot/dist/js/main.min.js	(from https://www.loxgamestudio.com/bots/securitybot/tr/)
16:12:59	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22631783d0-302c%22	https://www.loxgamestudio.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Benim%20Web%20Sitem/defendersec/www.loxgamestudio.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://www.loxgamestudio.com/bots/securitybot/tr/)
